address,amount0,amount1,amount2,amount3,amount4,amount5
0x8898702932f9e10c696146aa8dc6dd0e6f524b88,0,1000,1000000,1000000,1000000,1000000
0xf4c1d1bee90aba6bbc56bfbf2b8e35efe92a5c09,0,0,0,1000000,1000000,0
0xcb68e07d7e6d662643131a09bc3d97d40af3a940,0,1000000,1000000,1000000,1000000,1000000
0x74f08cd0ffe4fa72dc4c3584f62922f6046940f8,0,1000000,1000000,1000000,1000000,1000000
0x08ac9f754d73fcd3cf7b0fad738668d3474c5040,0,0,1000,1000000,1000000,0
0x8005a33ad51b47ab969bdfe8b7e1051fc3efb06a,0,0,1393658830,4180976492,0,0
0x64e8937abc6d71cf2d2f0fe05e52c33666883443,0,0,1333435502,4000306508,0,0
0x0b46e339708ea4d87bd2fcc61614e109ac374bbe,0,0,319621458,958864376,0,0
0x022e3ce4eda264b3e3fef62036c8182ceb88e6ce,0,0,153215006,459645020,0,0
0x972a7e7d1db231f67e797fccfbd04d17f825fcde,0,0,141130652,423391957,0,0
0xabc6b8cd748b395ebca0ccb60713e1de9b8e87eb,0,0,92057946,276173838,0,0
0x8a835a69bb0fcad3c3b926388d36e35489130f97,0,0,55303760,165911281,0,0
0x6b701a2560dcd7c6cebbd5f28575bc6eaf3a1f83,0,0,47390902,142172706,0,0
0x6df30d3493a907aff60d8b599773d27e9ad3e51d,0,0,41556334,124669003,0,0
0xed8c4c43e03e24b7f12975472da771ce2f8b857c,0,0,21789832,65369496,0,0
0x0e938f234cff703624a24770a18094cd71e2b37b,0,0,8191811,24575434,0,0
0x64fd9a3ca8f856ced235fd4f634a026b891a10f6,0,0,7856599,23569797,0,0
0xad7a25e7f596b9ef7dc858b74823f70e55b703e4,0,0,6301124,18903372,0,0
0x2e62a84648dcf3a5464d6249780df87630a9d665,0,0,5436805,16310415,0,0
0xaebe960cd0163629e3536206492c0d5a9b2ad198,0,0,5068927,15206783,0,0
0x15a37c86c1104fe1f1c9a49b6a2c519d12320bcb,0,0,2617360,7852080,0,0
0x8c971fc6b86ca6b9bd4ca84934397a3de3344e46,0,0,2519611,7558835,0,0
0x100752e70cd9b312250504dbd6e35c80a8aa2caa,0,0,2184143,6552431,0,0
0x1381f5ee2107ab4bfb3375410ac1559241ead2ba,0,0,1855876,5567630,0,0
0x08b4baa4bf35379bfb69348a807e1008258d262e,0,0,1840056,5520169,0,0
0x484de6813ed85da863c5735ba710c2b971fcbc88,0,0,1790389,5371168,0,0
0x5ce9625a721d9d32d67b47e29ba11a477dd3a5e4,0,0,1313194,3939582,0,0
0x1f92488a8c93d1a8a66535616dee42cc55313873,0,0,1245865,3737597,0,0
0xbf10e37c41beb6f36148f63fc04812403813554d,0,0,1191305,3573916,0,0
0x56aa9122909d47ecb5e2c877bfe725bc84d931da,0,0,1177424,3532272,0,0
0x6aeadfbd02a2c9de4a81633912b3b7bda1ed7d74,0,0,1177400,3532200,0,0
0xc876a75d29716aee650ca7439cd508f14c19d98a,0,0,1177400,3532200,0,0
0x04c49c077772c330d6688fb7200c9a0be8c0641f,0,0,1166509,3499527,0,0
0x0376f1b15a7b8217781f3015df96b40ec98e7844,0,0,1147965,3443895,0,0
0x808873046e84c97f2513da6b598ba0b968ae452b,0,0,1078772,3236318,0,0
0xa29c75448e0b174a579f747f0e8865579b29950b,0,0,942074,2826223,0,0
0x43ab8128ed061996cd3ed816aae284607d22e684,0,0,875564,2626692,0,0
0xb5b0bd5a9cdd24691ad175c18fa5e7d89f221f7d,0,0,873630,2620892,0,0
0xa91d4ea3139a0a487a9a35c54f0aec82a6574bd1,0,0,783265,2349796,0,0
0xafc87b3d801119dee44ededb1e86faad914f8d4b,0,0,767370,2302110,0,0
0xe1d6c6a620fa8fa187978a99f2672df042ad9f33,0,0,725323,2175970,0,0
0x7b5423177398db50c12c933459f194824d70dbc7,0,0,649793,1949381,0,0
0xa347aee765e547fb67e0f5c9b8fa643813a9f868,0,0,628463,1885390,0,0
0x647c7ef5eba9ba3f508e46239e757d5443b6e337,0,0,588700,1766100,0,0
0x55a91e2074016afeae5d4ffba8c5e6221a1773a9,0,0,588700,1766100,0,0
0x3be2f3f36ca622f5b26f1a47dc0c6d70cdc0c70b,0,0,588700,1766100,0,0
0xc495d99e1dc063909e4a333d9400c2ac23e44a36,0,0,588700,1766100,0,0
0x5faf1ffbc01445938ecde63f602789b8502e95c6,0,0,588700,1766100,0,0
0x55ec1462c9a801acddfee9fe2b87d024cb63ac3d,0,0,586746,1760239,0,0
0x6b61dc88f642b9c5e5a16515281fa9b397028048,0,0,585060,1755180,0,0
0x5237581286c271cb34fcbb26622858fff90255b2,0,0,572876,1718630,0,0
0xdd3467fa7da8e16abb921178304bd93df71ed5d8,0,0,571728,1715184,0,0
0x4f7efc18c988179e30ee2d999f9ad1832a9fa47b,0,0,518102,1554306,0,0
0x2b47dcd9991ca81cb67e94221b0ab40d02659639,0,0,502825,1508475,0,0
0x7f8bc51066a0495a8280a003e1920d80bf9ed703,0,0,460363,1381090,0,0
0x191a16fdeb1693115dcd6850638a33b42a6c7256,0,0,393896,1181690,0,0
0x885dd115d22bbf49fd5805cde02654b4c60db426,0,0,388388,1165166,0,0
0xf209c1ebd88d1b64ab91ae0bcba501c1fe28807e,0,0,362545,1087636,0,0
0x5f264f0a8a5653802ae69cbb4c827384a5274942,0,0,348390,1045172,0,0
0xb6ada2b0e1241ac8f1668ddcb0e1e41f3520f2c1,0,0,347391,1042175,0,0
0x098d9a770f3bd88bef60e72c833ab8db240d5928,0,0,325946,977839,0,0
0x60444e0a1b497530173309568015e7cc8b84be3d,0,0,323122,969368,0,0
0x690071fbcf1d6a7f5a655a5174e8a5f7b576433c,0,0,306124,918372,0,0
0x64c1d5c9e82618d96ce2c048a478277bc4e4dc82,0,0,294350,883050,0,0
0x9d9db6d545b8d6d231dfe36423086ed745c462a8,0,0,282570,847710,0,0
0x3324a9a42b02435222a002900f99261ee267ec96,0,0,266034,798102,0,0
0xf6655e0f9f5c8b7d7da3de6f78cfe1b8394e8148,0,0,259630,778892,0,0
0xc82baeb36c9c1a4ccaf9b7a41a709a6355b40b74,0,0,258298,774895,0,0
